Track ID,Track name,Artist name,Popularity score,Release year,Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0YCyVwfMLhvRNr2WoQJ2MH,Fight The Fire - Original Mix Edit,Andy Moor,7,2011,New Releases,0.516,0.943,6,-5.698,0,0.187,0.00685,0.0692,0.309,0.186,132.026,4
456QkXYfOSZrxBjZzfp3dk,New Madonna,Cash Cash,42,2024,New Releases,0.747,0.897,8,-1.949,0,0.054,0.0684,0.0,0.428,0.324,124.023,4
5dFWn3nRNbOmhTiERQpEWQ,D# Fat - Original Mix,Armin van Buuren,3,2013,New Releases,0.649,0.895,5,-4.057,0,0.042,0.00381,0.871,0.108,0.207,127.977,4
5eCi0WNi38vEKZeXr5kEAs,NERVOUS,Daughtry,44,2024,New Releases,0.315,0.651,5,-7.19,0,0.0394,0.137,0.000343,0.183,0.0968,78.163,4
2CHvjyIZ8khtm2ipjz0vmq,Use Somebody - Armin van Buuren Rework,Laura Jansen,8,2011,New Releases,0.386,0.838,2,-4.825,1,0.0333,0.0151,0.844,0.0826,0.046,135.989,4
3TyXxUT1D3EiATkn4g5vJ6,Deeper Waters,Jeremy Camp,47,2024,New Releases,0.559,0.878,4,-3.547,0,0.0912,0.124,0.0,0.365,0.481,160.163,4
6VKwfejHnDBQW10bbd2mIZ,Background Chill Music Beat,New Releases,4,2023,New Releases,0.601,0.369,7,-16.986,0,0.0423,0.221,0.951,0.118,0.137,91.048,4
6Se74aLQWLjOsVvg5GRQY7,Somebody New,charlieonnafriday,47,2024,New Releases,0.637,0.552,8,-7.907,1,0.324,0.179,0.000272,0.109,0.283,126.688,5
3SvwJFYVK177kNsGaKLd0h,Chill Music,New Releases,2,2023,New Releases,0.367,0.874,0,-16.785,0,0.59,0.21,0.278,0.971,0.345,153.433,4
3U2fxzzmfG6IubKrvXbWr8,Just My Type,Palaye Royale,53,2024,New Releases,0.534,0.853,0,-7.337,1,0.0428,0.000133,5.97e-05,0.113,0.751,116.993,4
2dBwB667LHQkLhdYlwLUZK,Summertime Sadness,Lana Del Rey,66,2012,Summer,0.565,0.654,1,-6.826,0,0.0335,0.0542,1.8e-06,0.122,0.235,111.968,4
0ZDwhNFZnPx9EIPCcwGUHC,Hell N Back (feat. Summer Walker),Bakar,78,2023,Summer,0.64,0.673,5,-4.519,0,0.563,0.288,2.15e-06,0.113,0.736,209.942,4
0jcw8cJf3TNMZN0BXlueML,Hell N Back (feat. Summer Walker),Bakar,79,2023,Summer,0.64,0.673,5,-4.519,0,0.563,0.288,2.15e-06,0.113,0.736,209.942,4
20XdEFyaUR9C7aDIdq2OAd,Summertime,DJ Jazzy Jeff & The Fresh Prince,63,1991,Summer,0.677,0.539,7,-14.439,1,0.063,0.0455,1.84e-06,0.845,0.469,95.116,4
08SB2OtZkaliju77WYEKxk,No Love (with SZA),Summer Walker,73,2021,Summer,0.707,0.618,1,-5.825,0,0.19,0.17,0.0,0.293,0.517,133.876,4
7aVKQJZwdqyEPkvKSyEuxj,Baby,Summer Walker,65,2018,Summer,0.548,0.461,9,-10.17,0,0.0397,0.754,0.0522,0.11,0.64,84.723,4
6YUTL4dYpB9xZO5qExPf05,Summer,Calvin Harris,85,2014,Summer,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,4
2Fyjjpg03fn7n5cj0Qm380,Karma,Summer Walker,69,2018,Summer,0.593,0.294,1,-10.072,0,0.0499,0.345,2.03e-05,0.287,0.152,113.847,4
4j3GWI86JvSaF0BLdmgcfF,Summertime Magic,Childish Gambino,61,2018,Summer,0.76,0.579,0,-7.374,1,0.0567,0.0127,0.00344,0.106,0.129,100.011,4
0GONea6G2XdnHWjNZd6zt3,Summer Of '69,Bryan Adams,82,1984,Summer,0.509,0.834,2,-6.205,1,0.0386,0.0183,0.0,0.0732,0.774,139.13,4
3NxWJWftvkstyxvb1pZlFo,Teeth,5 Seconds of Summer,75,2020,Summer,0.745,0.454,3,-2.986,0,0.0392,0.0437,3.47e-06,0.0741,0.43,139.007,4
5Tp4UJvnsF4Zd05k0zXUte,CPR,Summer Walker,59,2018,Summer,0.693,0.369,7,-12.683,0,0.175,0.637,0.00335,0.0951,0.141,140.148,4
2gNjmvuQiEd2z9SqyYi8HH,Summertime,Ella Fitzgerald,62,1958,Summer,0.175,0.0695,6,-21.295,0,0.0345,0.916,0.00199,0.137,0.0998,167.004,5
58VNpcJpI5dEKxYByCkbXc,Miss Summer,ODIE,63,2020,Summer,0.589,0.527,0,-9.962,1,0.0342,0.599,0.000111,0.0853,0.132,133.981,4
