Track ID,Track name,Artist name,Popularity score,Release year,Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5de2OkgauRelMCh77ruJjl,I Was Made For Lovin’ You - from The Fall Guy,YUNGBLUD,48,2024,Made For You,0.475,0.63,2,-8.386,0,0.04,0.00672,0.0,0.117,0.298,129.859,4
3JjnGLK8IxkNLvo8Lb3KOM,18,One Direction,76,2014,Made For You,0.681,0.582,6,-7.76,0,0.0313,0.22,0.0,0.119,0.221,124.038,4
3cU1L8N85nHKrHEvSx84RX,made for you,renforshort,29,2022,Made For You,0.644,0.745,1,-4.89,1,0.0432,0.145,0.000575,0.203,0.671,162.029,4
1Qf7H7d1TNP8VfPVDRLY0D,For Those About to Rock (We Salute You),AC/DC,46,1986,Made For You,0.371,0.909,4,-5.704,1,0.101,0.000341,0.508,0.0894,0.48,132.885,4
6futwkldbJdgkrYtAINhn9,Like We Wrote,Lithe,71,2024,Made For You,0.77,0.156,4,-11.724,0,0.0366,0.424,0.0687,0.123,0.34,93.003,4
0avIl6Ss5Xa4ybAc3kup4g,Made For Me - Soul Train Performance Live,Muni Long,43,2024,Made For You,0.579,0.735,10,-5.316,1,0.0461,0.178,0.0,0.633,0.278,119.801,4
3QqO9FxVrikwo7kS5ls3kQ,Looks Like We Made It,Barry Manilow,47,1976,Made For You,0.297,0.481,0,-7.681,1,0.0278,0.574,0.00352,0.094,0.456,139.896,4
5cTrpZbyV7nY9fElMJdTDE,Numb / Encore,JAY-Z,0,2024,Made For You,0.684,0.803,2,-4.251,1,0.156,0.0606,0.0,0.546,0.8,107.027,4
7x5R9ToA8NqjlLPlypkEyb,Made for Jesus,John Mark Pantana,41,2020,Made For You,0.421,0.0526,11,-16.968,1,0.0382,0.96,0.000347,0.108,0.211,134.301,4
1EeQUb8jruGF8JRt1BgKve,Uber Everywhere,MadeinTYO,43,2016,Made For You,0.783,0.463,1,-15.074,1,0.243,0.0492,0.0,0.181,0.151,140.165,4
72teB6H5B4nlMnToLbdZfW,Numb / Encore,JAY-Z,0,2024,Made For You,0.684,0.803,2,-4.251,1,0.156,0.0606,0.0,0.546,0.8,107.027,4
6jWpo4N1dsdmobusJWI2So,Made For Me,Chuckey Ellis,34,2024,Made For You,0.762,0.374,7,-8.93,0,0.0539,0.134,0.0,0.109,0.0985,120.006,4
7dEKwMoUZCpvUFLLuJQjju,I Was Made For Lovin' You - Single Mix,KISS,52,2014,Made For You,0.708,0.856,9,-5.4,1,0.0537,0.0287,8.44e-05,0.0727,0.902,128.511,4
