Track ID,Track name,Artist name,Popularity score,Release year,Genre
6uFn47ACjqYkc0jADwEdj1,Pop Out (feat. Lil Tjay),Polo G,74,2019,Pop
15BQ7vEDv2LJuh8TxWIhtd,The Passenger,Iggy Pop,70,1977,Pop
26Fx8UbsC0BV4J1CdtuLAy,Pop,OsamaSon,60,2023,Pop
25zlnOAzbVoOzIeXSvQFf1,Got It On Me,Pop Smoke,71,2020,Pop
53dGCRXGyCUV5Ycoy6Md34,Pop like this Pt. 2,prodbycpkshawn,59,2024,Pop
6kxkMrPqppgT3TQjOyhAYk,Popcorn,D.O.,67,2024,Pop
1nHmxtzpTtAj6IFstjzXRl,360,Charli xcx,1,2024,Pop
3lOMJTQTd6J34faYwASc33,POP!,NAYEON,73,2022,Pop
7nNZbnD5lXiuu4tWOefh2H,Crazy What Love Can Do,David Guetta,0,2024,Pop
5jbD0oT3G5MeymhAfGsncK,Pop like this Pt. 2 - Slowed,prodbycpkshawn,57,2024,Pop
1vlvralIs092QW0MtAWbZZ,Levitating,Dua Lipa,0,2024,Pop
2jVdjLJKHufVlUzIBuPgtK,Don’t Start Now,Dua Lipa,1,2024,Pop
67gUqq3wVAztSquOpNZ4Xs,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,57,2023,Pop
6SG7YR3zz9nVvtOZyL482H,Celestial,Ed Sheeran,4,2024,Pop
1T6dUV1mqXyA2bSP3lK0IZ,Not My Problem,Laila!,72,2024,Pop
5JDcQAztvZTIkrWoZihgvC,A Drop in the Ocean,Ron Pope,65,2008,Pop
3cIjeDpRUFiKU5tDXEY7Aw,Pop Star,Coco & Clair Clair,53,2020,Pop
4o82J5zr4DFEs9yj5szCVX,K-POP (feat. Bad Bunny & The Weeknd),Travis Scott,64,2023,Pop
5sbooPcNgIE22DwO0VNGUJ,POP/STARS,K/DA,67,2018,Pop
